record_date,Sprint,issues_total,issues_todo,issues_in_progress,issues_in_review,issues_merged,avg_time_todo_E2,avg_time_in_progress_E2,avg_time_in_review_E2,avg_time_merged_E2,avg_time_todo_E4,avg_time_in_progress_E4,avg_time_in_review_E4,avg_time_merged_E4,avg_time_todo_E8,avg_time_in_progress_E8,avg_time_in_review_E8,avg_time_merged_E8,avg_time_todo_E16,avg_time_in_progress_E16,avg_time_in_review_E16,avg_time_merged_E16,story_points_total,story_points_bug,story_points_non_bug,story_points_clean_pct,average_prs_per_issue,reentries_per_issue,BurndownSP,BurndownAVGSP,BurndownPredictionSP,SPDelta,,,Title,Sprint,TodoDays,InProgressDays,InReviewDays,ReworkDays
2026-07-12,Sprint 14,25,3,4,2,16,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,,20.0,24.75,4.75,,,Database Migration Phase 12,Sprint 14,2.9,1.0,0.5,2.5
2026-07-13,Sprint 14,25,1,4,2,18,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,,10.0,17.5,7.5,,,Database Migration Phase 13,Sprint 14,3.1,1.8,1.0,0.0
2026-07-14,Sprint 14,25,0,4,2,19,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,,5.0,10.25,5.25,,,Database Migration Phase 14,Sprint 14,3.3,2.6,0.5,0.0
2026-07-15,Sprint 14,25,0,2,2,21,0.5,1.2,0.8,2.5,1.0,2.5,1.0,4.5,2.0,5.0,2.0,9.0,3.0,8.0,4.0,15.0,100.0,15.0,85.0,85.0,1.2,0.4,,0.0,3.0,3.0,,,Fix UI Alignment Bug #15,Sprint 14,3.5,3.4,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #16,Sprint 14,3.7,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #17,Sprint 14,3.9,1.8,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #18,Sprint 14,4.1,2.6,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #19,Sprint 14,4.3,3.4,0.0,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #20,Sprint 14,4.5,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #21,Sprint 14,4.7,1.8,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #22,Sprint 14,4.9,2.6,0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #23,Sprint 14,5.1,3.4,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #24,Sprint 14,5.3,1.0,0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fix UI Alignment Bug #25,Sprint 14,5.5,1.8,1.0,0.0
